doi,resource,file,dl_uri,error
10.15146/R3X30Z,30769,Bartomeus_Ntw_nceas.txt,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5421t2h,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5421t2h/2/producer%2FBartomeus_Ntw_nceas.txt?no_redirect=true
Http status code: 401"
10.15146/R31S3X,30770,Data_set_Mauricio.csv,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm50912b5,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm50912b5/2/producer%2FData_set_Mauricio.csv?no_redirect=true
Http status code: 401"
10.15146/R39884,30771,Praticagem.xlsx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5p034nw,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5p034nw/2/producer%2FPraticagem.xlsx?no_redirect=true
Http status code: 401"
10.15146/R3F30M,30772,Movimentacao_navios.xlsx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm57m54zv,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm57m54zv/2/producer%2FMovimentacao_navios.xlsx?no_redirect=true
Http status code: 401"
10.15146/R3PK5H,30773,PIBMunicipal_2010_2013.xls,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm57x185s,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm57x185s/2/producer%2FPIBMunicipal_2010_2013.xls?no_redirect=true
Http status code: 401"
10.15146/R32S37,30774,CarParameters.tsv,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5m66g94,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5m66g94/2/producer%2FCarParameters.tsv?no_redirect=true
Http status code: 401"
10.15146/R3QG65,30776,resistance_analysis.sas7bdat,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5rj9fjp,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5rj9fjp/2/producer%2Fresistance_analysis.sas7bdat?no_redirect=true
Http status code: 401"
10.15146/R3V883,30778,VariableDescriptions.docx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5qp13r8,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5qp13r8/2/producer%2FVariableDescriptions.docx?no_redirect=true
Http status code: 401"
10.15146/R3RG6G,30779,A_Zebrafish_Model_for_Studies_on_Esophageal_Epithelial_Biology.PDF,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm52v7c4m,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm52v7c4m/2/producer%2FA_Zebrafish_Model_for_Studies_on_Esophageal_Epithelial_Biology.PDF?no_redirect=true
Http status code: 401"
10.15146/R31017,30780,paper.pdf,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm53v4d63,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm53v4d63/2/producer%2Fpaper.pdf?no_redirect=true
Http status code: 401"
10.15146/R34S3V,30781,Zinc-deficiency-induces-apoptosis-via-mitochondrial-p53-and-caspase-dependent-pathways-in-human-neuronal-precursor-cells_2015_Journal-of-Trace-Element__1_.pdf,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5353gcw,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5353gcw/2/producer%2FZinc-deficiency-induces-apoptosis-via-mitochondrial-p53-and-caspase-dependent-pathways-in-human-neuronal-precursor-cells_2015_Journal-of-Trace-Element__1_.pdf?no_redirect=true
Http status code: 401"
10.15146/R3D59D,30782,LC0211.txt,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5g789q9,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5g789q9/2/producer%2FLC0211.txt?no_redirect=true
Http status code: 401"
10.15146/R3NP4V,30783,spec.rtf,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5rr6v63,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5rr6v63/3/producer%2Fspec.rtf?no_redirect=true
Http status code: 401"
10.15146/R3201J,30784,Britten_et_al_2016.zip,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm53r5pzm,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm53r5pzm/2/producer%2FBritten_et_al_2016.zip?no_redirect=true
Http status code: 401"
10.15146/R39G6F,30785,Academic_Libraries_RDSFollow_Up_2014.xlsx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5wm69d1,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5wm69d1/3/producer%2FAcademic_Libraries_RDSFollow_Up_2014.xlsx?no_redirect=true
Http status code: 401"
10.15146/R3PP45,30787,readme.txt,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm58q0whk,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm58q0whk/4/producer%2Freadme.txt?no_redirect=true
Http status code: 401"
10.15146/R3TG63,30788,ds_dataone.xlsx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5m092dk,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5m092dk/4/producer%2Fds_dataone.xlsx?no_redirect=true
Http status code: 401"
10.15146/R36P4T,30789,survey_Q11-23_sensors_platforms.R,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm55x75x2,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm55x75x2/3/producer%2Fsurvey_Q11-23_sensors_platforms.R?no_redirect=true
Http status code: 401"
10.15146/R3G591,30790,Thesis_title_and_abstract_v5.docx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5q005v5,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5q005v5/3/producer%2FThesis_title_and_abstract_v5.docx?no_redirect=true
Http status code: 401"
10.15146/R3KW2J,30791,SICO2_FL_Aboveground_C_N_and_15N.csv,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5xh4n60,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5xh4n60/3/producer%2FSICO2_FL_Aboveground_C_N_and_15N.csv?no_redirect=true
Http status code: 401"
10.15146/R3059P,30792,Lai_AGU2013.pdf,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5qz76z7,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5qz76z7/2/producer%2FLai_AGU2013.pdf?no_redirect=true
Http status code: 401"
10.15146/R33W26,30794,WVIA_WindRiver_2012_CTLai.xlsx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5033njk,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5033njk/2/producer%2FWVIA_WindRiver_2012_CTLai.xlsx?no_redirect=true
Http status code: 401"
10.15146/R3CC7D,30795,Ale_Ebrahim-2015.pdf,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5cc5wr3,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5cc5wr3/2/producer%2FAle_Ebrahim-2015.pdf?no_redirect=true
Http status code: 401"
10.15146/R3MW2V,30796,Part-Shelflist.xlsx,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm5wb0662,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm5wb0662/2/producer%2FPart-Shelflist.xlsx?no_redirect=true
Http status code: 401"
10.15146/R3RP4S,30797,10kV.JPG,https://merritt.cdlib.org/d/ark%3A%2F13030%2Fm56x471d,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F13030%2Fm56x471d/2/producer%2F10kV.JPG?no_redirect=true
Http status code: 401"
10.15146/R3B011,30798,rainhail_data_april_2013-rainhail_data_april_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1416v1p,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1416v1p/3/producer%2Frainhail_data_april_2013-rainhail_data_april_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R33K57,30799,File-metadata.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1f769jn,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1f769jn/6/producer%2FFile-metadata.csv?no_redirect=true
Http status code: 401"
10.15146/R3S012,30800,rainhail_data_april_2013-rainhail_data_april_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1p26w2v,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1p26w2v/3/producer%2Frainhail_data_april_2013-rainhail_data_april_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R35C7J,30801,wind_data_january_2013-wind_data_january_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq18p5xgr,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq18p5xgr/3/producer%2Fwind_data_january_2013-wind_data_january_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3GP49,30803,rainhail_data_january_2013-rainhail_data_january_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1zc80t9,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1zc80t9/3/producer%2Frainhail_data_january_2013-rainhail_data_january_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3HC7N,30804,PLoS_dodder_Shahla_Farzan-Sheet1.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1v122q4,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1v122q4/5/producer%2FPLoS_dodder_Shahla_Farzan-Sheet1.csv?no_redirect=true
Http status code: 401"
10.15146/R3C01B,30805,ptu_data_december_2013-ptu_data_december_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1348h9m,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1348h9m/3/producer%2Fptu_data_december_2013-ptu_data_december_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3D01N,30806,rainhail_data_july_2013-rainhail_data_july_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1251g5s,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1251g5s/3/producer%2Frainhail_data_july_2013-rainhail_data_july_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3BS3Q,30807,ptu_data_september_2013-ptu_data_september_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1k935gw,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1k935gw/3/producer%2Fptu_data_september_2013-ptu_data_september_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3WK5C,30808,Eaffinis_2008experiments-Eaffinis_2008experiments.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq13j39xf,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq13j39xf/10/producer%2FEaffinis_2008experiments-Eaffinis_2008experiments.csv?no_redirect=true
Http status code: 401"
10.15146/R3488K,30809,ptu_data_march_2013-ptu_data_march_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1br8q5p,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1br8q5p/4/producer%2Fptu_data_march_2013-ptu_data_march_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3R30D,30810,ptu_data_december_2013-ptu_data_december_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1610x80,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1610x80/3/producer%2Fptu_data_december_2013-ptu_data_december_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R30K59,30811,ptu_data_february2013-ptu_data_february2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1gh9fw0,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1gh9fw0/4/producer%2Fptu_data_february2013-ptu_data_february2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3HP4M,30812,rainhail_data_august_2013-rainhail_data_august_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1xd0znn,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1xd0znn/3/producer%2Frainhail_data_august_2013-rainhail_data_august_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3QW2S,30813,Sediment-core-7.xlsx,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq18k771c,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq18k771c/6/producer%2FSediment-core-7.xlsx?no_redirect=true
Http status code: 401"
10.15146/R31C79,30814,MLA.xlsx,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq17m05w4,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq17m05w4/7/producer%2FMLA.xlsx?no_redirect=true
Http status code: 401"
10.15146/R3CS31,30816,rainhail_data_february_2013-rainhail_data_february_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1xg9p38,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1xg9p38/3/producer%2Frainhail_data_february_2013-rainhail_data_february_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3759V,30817,ptu_data_november_2013-ptu_data_november_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq16t0jmv,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq16t0jmv/3/producer%2Fptu_data_november_2013-ptu_data_november_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3PC76,30818,wind_data_april_2013-wind_data_april_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1wd3xjq,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1wd3xjq/3/producer%2Fwind_data_april_2013-wind_data_april_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R32P4K,30820,wind_data_july_2013-wind_data_july_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1cf9n23,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1cf9n23/3/producer%2Fwind_data_july_2013-wind_data_july_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3M598,30821,env short-env short.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1tx3cbz,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1tx3cbz/4/producer%2Fenv%20short-env%20short.csv?no_redirect=true
Http status code: 401"
10.15146/R3ZW2Z,30822,File-metadata.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1sf2t5k,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1sf2t5k/7/producer%2FFile-metadata.csv?no_redirect=true
Http status code: 401"
10.15146/R3588W,30823,rainhail_data_july_2013-rainhail_data_july_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq18s4mvm,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq18s4mvm/3/producer%2Frainhail_data_july_2013-rainhail_data_july_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3T594,30824,wind_data_may_2013-wind_data_may_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1mw2f32,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1mw2f32/3/producer%2Fwind_data_may_2013-wind_data_may_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R38302,30825,ptu_data_april_2013-ptu_data_april_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1707zdt,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1707zdt/4/producer%2Fptu_data_april_2013-ptu_data_april_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3R59H,30826,rainhail_data_march_2013-rainhail_data_march_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1pv6hbt,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1pv6hbt/3/producer%2Frainhail_data_march_2013-rainhail_data_march_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3ZP4N,30827,ptu_data_october_2013-ptu_data_october_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1bk1994,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1bk1994/3/producer%2Fptu_data_october_2013-ptu_data_october_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3GK5N,30828,ptu_data_october_2013-ptu_data_october_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1fj2dr5,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1fj2dr5/3/producer%2Fptu_data_october_2013-ptu_data_october_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3459X,30829,Chapter 3 Data December 13-Chapter 3 Data December 13.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1jm27kg,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1jm27kg/5/producer%2FChapter%203%20Data%20December%2013-Chapter%203%20Data%20December%2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3730R,30831,ptu_data_august_2013-ptu_data_august_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1pz56sk,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1pz56sk/3/producer%2Fptu_data_august_2013-ptu_data_august_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3KG6X,30833,ptu_data_june_2013-ptu_data_june_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1vm497c,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1vm497c/3/producer%2Fptu_data_june_2013-ptu_data_june_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3XW2N,30834,wind_data_june_2013-wind_data_june_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1h41pd3,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1h41pd3/3/producer%2Fwind_data_june_2013-wind_data_june_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R31P48,30835,rainhail_data_december_2013-rainhail_data_december_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1db7zsr,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1db7zsr/3/producer%2Frainhail_data_december_2013-rainhail_data_december_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3FS3N,30836,ptu_data_may_2013-ptu_data_may_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq10c4sq8,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq10c4sq8/3/producer%2Fptu_data_may_2013-ptu_data_may_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3T01C,30837,rainhail_data_december_2013-rainhail_data_december_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1n29tx2,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1n29tx2/3/producer%2Frainhail_data_december_2013-rainhail_data_december_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3XK5P,30838,wind_data_may_2013-wind_data_may_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1rx991r,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1rx991r/4/producer%2Fwind_data_may_2013-wind_data_may_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3XS30,30839,ptu_data_january_2013-ptu_data_january_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1h9935p,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1h9935p/3/producer%2Fptu_data_january_2013-ptu_data_january_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3MG67,30840,rainhail_data_february_2013-rainhail_data_february_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1tm7830,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1tm7830/3/producer%2Frainhail_data_february_2013-rainhail_data_february_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R30P4Z,30841,ptu_data_april_2013-ptu_data_april_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1fb50w2,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1fb50w2/3/producer%2Fptu_data_april_2013-ptu_data_april_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R35304,30842,wind_data_january_2013-wind_data_january_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq19021qd,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq19021qd/3/producer%2Fwind_data_january_2013-wind_data_january_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3Q596,30843,ptu_data_july_2013-ptu_data_july_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1qv3jhn,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1qv3jhn/3/producer%2Fptu_data_july_2013-ptu_data_july_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R3VS3C,30844,ptu_data_january_2013-ptu_data_january_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq1m61h6z,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq1m61h6z/5/producer%2Fptu_data_january_2013-ptu_data_january_2013.csv?no_redirect=true
Http status code: 401"
10.15146/R34G6W,30846,rainhail_data_may_2013-rainhail_data_may_2013.csv,https://merritt.cdlib.org/d/ark%3A%2F90135%2Fq19k4866,"Merritt couldn't create presigned URL for https://merritt.cdlib.org/api/presign-file/ark%3A%2F90135%2Fq19k4866/3/producer%2Frainhail_data_may_2013-rainhail_data_may_2013.csv?no_redirect=true
Http status code: 401"
